gene_id	log2FC	PValue	FDR	logCPM	LR	FDR	score
ENSG00000211817	0.337521505105827	0.714927392926569	0.852505544546846	-2.77095129844719	0.133405022869923	0.852505544546846	0.145738062328291
ENSG00000237254	0.615406524918168	0.117929421084506	0.263899618179886	-2.53896220207968	2.44460695364047	0.263899618179886	0.928377833406497
ENSG00000211808	0.334814372134573	0.29913533662061	0.498943023472346	-2.83658059786115	1.07804490274165	0.498943023472346	0.524132281074767
ENSG00000211785	0.65676481597471	0.0720085693156907	0.185186363217265	-2.81493436944362	3.2366310066819	0.185186363217265	1.14261581766503
ENSG00000211809	0.812480117873096	0.0309144821615007	0.0995553227307838	-2.80670461068101	4.65770523422037	0.0995553227307838	1.50983802383067
ENSG00000211796	0.363670805260121	0.448129431232195	0.645983318635042	-2.82237326440457	0.575378736156585	0.645983318635042	0.348596532538639
ENSG00000211797	1.45498173664181	0.000416065173218117	0.00399016941575476	-2.74170854980585	12.4586292210012	0.00399016941575476	3.38083863535285
ENSG00000211790	1.08508146249671	0.00716565334202056	0.0330776470410621	-2.7984887391168	7.23096865867273	0.0330776470410621	2.14474420583901
ENSG00000205274	-0.192705877756833	0.522461787986123	0.708199451634232	-2.10992919544801	0.409030908811133	0.708199451634232	0.281945467654477
ENSG00000211820	-0.241851088716783	0.550475046601095	0.730910198815014	-2.50634047629697	0.356466828364404	0.730910198815014	0.259262363102896
ENSG00000211818	0.39841220429741	0.463745441728108	0.658800703593798	-2.66867231864474	0.536839639023512	0.658800703593798	0.333720346146835
ENSG00000211777	-0.273652407038864	0.577657279321779	0.75282029942041	-2.80717496266115	0.310037329585771	0.75282029942041	0.238329749545059
ENSG00000211778	0.259238590268354	0.544130117924922	0.725567219889399	-2.8223741115704	0.367938489391939	0.725567219889399	0.264297234971509
ENSG00000211786	0.586009118707261	0.146590531316152	0.307784392531408	-2.74874247980419	2.10737556940668	0.307784392531408	0.83389408105882
ENSG00000211798	-0.710485169886938	0.0999109262432289	0.234641626942899	-2.81404795988363	2.70696473388085	0.234641626942899	1.00038701480039
ENSG00000233306	0.566894861491848	0.118708890402493	0.265180811166185	-2.26593686389965	2.43427337799548	0.265180811166185	0.925516754439179
ENSG00000211698	0.517779236614344	0.141280238928421	0.300136189277911	-2.06958205600747	2.16395934238368	0.300136189277911	0.849918579301561
ENSG00000211695	0.10641953311405	0.715938478089405	0.853143887867351	-1.92093269962695	0.13241756377478	0.853143887867351	0.145124295812598
ENSG00000211816	-0.238270324313841	0.635768973843691	0.797329773944667	-2.80788267857965	0.224318476846523	0.797329773944667	0.196700669905452
ENSG00000211819	0.512504861304197	0.162958488739977	0.330811618102396	-2.81433584860168	1.946555719423	0.330811618102396	0.787923011590928
ENSG00000211799	-0.309003022962981	0.518070728922225	0.704857666064002	-2.7710108530275	0.417732355593074	0.704857666064002	0.285610944726337
ENSG00000211791	0.471453673576107	0.303943213376574	0.504461961648116	-2.7131621939075	1.0568129102395	0.504461961648116	0.517207549354748
ENSG00000211697	0.552035185275889	0.013953326964459	0.0546959770183937	-1.24728338095785	6.04403885630428	0.0546959770183937	1.85532222894685
ENSG00000211812	0.000121238808204992	0.831930494906619	0.929279126040043	-2.81488195388855	0.0450399995268658	0.929279126040043	0.0799129560884128
ENSG00000211693	0.281108554968083	0.227287438867059	0.414869258553693	-2.83708024169935	1.45775639821054	0.414869258553693	0.643424565073367
ENSG00000211699	0.55780801938289	0.161158974440995	0.328448941102597	-2.17559224057538	1.96331738140863	0.328448941102597	0.792745504972127
ENSG00000211701	1.17356508354314	0.0166181573273009	0.0623614019137183	-2.63418061156249	5.73625833272114	0.0623614019137183	1.77941713379805
ENSG00000211694	1.01293652150368	0.0274786258541514	0.0911100453181116	-2.48420984200568	4.86048403403383	0.0911100453181116	1.56100498918456
ENSG00000255569	0.668256943530496	0.0808128765341439	0.2011481672816	-2.80820941321296	3.04847732171071	0.2011481672816	1.09251943424798
ENSG00000211815	0.156934844996134	0.735661531312988	0.866648996732473	-2.79315948226177	0.113976546928367	0.866648996732473	0.133321953180412
ENSG00000211746	-0.740711864187128	0.100297959210014	0.235326308865681	-2.4910269849146	2.70079918287959	0.235326308865681	0.998707903598186
ENSG00000211813	-0.137809630655696	0.735310132781865	0.866375537979021	-2.78471999298193	0.114291598260529	0.866375537979021	0.133529449286073
ENSG00000211779	-0.0801479071237955	0.852941003340171	0.941556056876473	-2.64792897873929	0.0343610129372962	0.941556056876473	0.0690810072966137
ENSG00000211821	-0.0897753037341858	0.79558337709506	0.906286209455149	-2.82200179404941	0.0671158238874305	0.906286209455149	0.0993142995939909
ENSG00000211800	-0.0192778283746675	0.841711659504389	0.934437908441024	-2.80281738891561	0.0398819050278973	0.934437908441024	0.0748366568762019
ENSG00000226660	-0.0246681893833197	0.970374382808459	1	-2.77087888142065	0.00137928605171567	1	0.0130606770546921
