gene_id	log2FC	PValue	FDR	PE_L2H	Critical_L2H	Area_L2H	PeakH_L2H	PeakX_L2H	PE_H2L	Critical_H2L	Area_H2L	PeakH_H2L	PeakX_H2L	direction_best	TE_score_L2H	TE_score_any	fc_thresh	pass_fc	stat_name	score
ENSG00000214688	0.724575250917864	7.86615033505586e-06	0.000812903200431773	0.0246059795586971	0	-0.126011418632789	0.0254083484573503	0.0315789473684211	0.298825102684115	0.37143482197868	0.175712719298246	0.430127041742287	0.305263157894737	H2L	0.126011418632789	0.298825102684115	1.5	TRUE	PE	5.10423775771071
ENSG00000074219	2.31303765875041	0.0025136720404023	0.021349588519899	0	110.523295075347	-0.170476028433152	1.4507451501454e-17	1	0.224023306906104	1.95608208735949	0.187509452510587	0.452813067150635	0.505263157894737	H2L	0.170476028433152	0.224023306906104	1.5	TRUE	PE	2.59969138549423
ENSG00000163898	0.741687439864979	0.00210488194203765	0.0192335989432649	0.00019104021396504	6.22700222581911	-0.11829816999395	0.0090744101633394	0.978947368421053	0.226802942019295	4.28229647511014	0.138053917120387	0.38475499092559	0.410526315789474	H2L	0.11829816999395	0.226802942019295	1.5	TRUE	PE	2.67677225771857
ENSG00000140450	0.747226085852407	0.00298448610986122	0.0241578939827563	0	77.3768318010143	-0.101056790683606	1.4507451501454e-17	1	0.220508166969147	15.9780823794578	0.143952283726558	0.367513611615245	0.4	H2L	0.101056790683606	0.220508166969147	1.5	TRUE	PE	2.52513043802352
ENSG00000132639	-0.654519924683279	7.94106605253259e-05	0.00282352932362857	0.272194096857388	2707.72750172189	0.186148290986086	0.497277676950998	0.452631578947368	0	147.846463581596	-0.157771854204477	1.4507451501454e-17	1	L2H	0.186148290986086	0.272194096857388	1.5	TRUE	PE	4.10012119156562
ENSG00000106034	0.90864082284044	0.00903817552009691	0.0494660278174806	0.0172413793103448	1.34316424070712	-0.114214685420448	0.0172413793103448	0	0.200668640748878	5.50587399638645	0.140776240169389	0.366606170598911	0.452631578947368	H2L	0.114214685420448	0.200668640748878	1.5	TRUE	PE	2.04391922898514
ENSG00000057294	0.77125622652342	0.00449291408125502	0.0318993905731473	0.0722609609322762	5.59522272889426	-0.065666591046582	0.0771324863883848	0.0631578947368421	0.213850415512465	8.47191972684119	0.123081140350877	0.3502722323049	0.389473684210526	H2L	0.065666591046582	0.213850415512465	1.5	TRUE	PE	2.34747188641325
ENSG00000164318	0.745734546781762	0.00228792601173911	0.0201750613025252	0.00799503295443691	0.0247201200040719	-0.160494177253479	0.00816696914700545	0.0210526315789474	0.224510459451715	1.0175417814751	0.167092029643073	0.41016333938294	0.452631578947368	H2L	0.160494177253479	0.224510459451715	1.5	TRUE	PE	2.64055802411527
ENSG00000164707	1.16805451066468	0.000895929551257037	0.0112800922404858	0.0341197822141561	6.33439590303096	-0.0878988959467635	0.0344827586206897	0.0105263157894737	0.240443213296399	29.4483379407945	0.147128327283727	0.368421052631579	0.347368421052632	H2L	0.0878988959467635	0.240443213296399	1.5	TRUE	PE	3.04772613844363
ENSG00000107796	1.28711301176497	0.00176211131969936	0.0173851552300794	0.0341197822141561	64.5221458585284	-0.113760964912281	0.0344827586206897	0.0105263157894737	0.229754513325055	133.462182225306	0.126710904416213	0.325771324863884	0.294736842105263	H2L	0.113760964912281	0.229754513325055	1.5	TRUE	PE	2.75396665891803
ENSG00000074370	1.12455085255268	2.29429384772463e-05	0.00144685034853752	0	11.4347629126611	-0.174559513006655	1.4507451501454e-17	1	0.287821186359729	1.25005451345159	0.202482229280097	0.506352087114338	0.431578947368421	H2L	0.174559513006655	0.287821186359729	1.5	TRUE	PE	4.63935095944434
ENSG00000112214	1.10823701872961	0.00251442119757706	0.021349588519899	0.0506352087114338	2.15062009766063	-0.160040456745312	0.0517241379310345	0.0210526315789474	0.221272327825007	5.96085427180713	0.18705573200242	0.512704174228675	0.568421052631579	H2L	0.160040456745312	0.221272327825007	1.5	TRUE	PE	2.59956197069857
ENSG00000174963	0.871348098291127	4.70408275989253e-05	0.00208437061266829	0	20.4713963660287	-0.168661146400484	1.4507451501454e-17	1	0.278154551533098	2.92306695707253	0.199306185722928	0.471869328493648	0.410526315789474	H2L	0.168661146400484	0.278154551533098	1.5	TRUE	PE	4.3275250462236
ENSG00000197057	0.672067354497138	0.00633537250794817	0.0400631649555127	0.0172413793103448	0	-0.12283537507562	0.0172413793103448	0	0.207517432419524	0	0.142591122202057	0.358439201451906	0.421052631578947	H2L	0.12283537507562	0.207517432419524	1.5	TRUE	PE	2.19822784433373
ENSG00000164761	0.813609565407426	0.000205331495650784	0.00482611870481915	0	44.248463040709	-0.212218315184513	1.4507451501454e-17	1	0.260703027987391	7.28255212301045	0.202935949788264	0.505444646098004	0.484210526315789	H2L	0.212218315184513	0.260703027987391	1.5	TRUE	PE	3.68754442939872
ENSG00000187498	0.620784947216434	0.000615682338129531	0.00906433795235187	0	37.8288449792379	-0.201329022988506	1.4507451501454e-17	1	0.24557264304136	7.17176416183115	0.18251852692075	0.496370235934664	0.505263157894737	H2L	0.201329022988506	0.24557264304136	1.5	TRUE	PE	3.21064330468766
ENSG00000273608	1.01910264447679	0.00704922565085449	0.0424704773481575	0.0377877543222848	0	-0.0457028886872353	0.0417422867513612	0.0947368421052632	0.206170598911071	0	0.0831537356321839	0.257713248638838	0.2	H2L	0.0457028886872353	0.206170598911071	1.5	TRUE	PE	2.15185858712643
ENSG00000275911	0.658824257051483	0.00280219119733452	0.0234756791835274	0	5.24912766695964	-0.105593995765275	1.4507451501454e-17	1	0.220842487343586	0.643765478644611	0.118997655777374	0.308529945553539	0.284210526315789	H2L	0.105593995765275	0.220842487343586	1.5	TRUE	PE	2.55250223553316
ENSG00000133392	1.31878895289392	0.00809763990205894	0.046340834566338	0	64.8020591503124	-0.184995084694495	1.4507451501454e-17	1	0.202473970770847	2.67470331971079	0.170268073200242	0.469147005444646	0.568421052631579	H2L	0.184995084694495	0.202473970770847	1.5	TRUE	PE	2.09164153999358
ENSG00000113140	0.914474626152969	0.000154638526824868	0.00407736612786953	0	430.844159237755	-0.166846264367816	1.4507451501454e-17	1	0.26306237462986	57.842735421238	0.192046657592257	0.462794918330309	0.431578947368421	H2L	0.166846264367816	0.26306237462986	1.5	TRUE	PE	3.81068229629484
ENSG00000178726	0.598093529607818	0.00457813070988479	0.0318993905731473	0	30.0606216159762	-0.123289095583787	1.4507451501454e-17	1	0.213544751170121	6.34764549078182	0.144406004234725	0.37568058076225	0.431578947368421	H2L	0.123289095583787	0.213544751170121	1.5	TRUE	PE	2.33931181197346
ENSG00000152977	0.651404739874296	4.70408275989253e-05	0.00208437061266829	0	61.4237114799477	-0.145067679975802	1.4507451501454e-17	1	0.278154551533098	10.979272456473	0.182972247428917	0.471869328493648	0.410526315789474	H2L	0.145067679975802	0.278154551533098	1.5	TRUE	PE	4.3275250462236
ENSG00000173641	1.00117466921675	7.57273044160537e-05	0.00282352932362857	0	9.02385268695627	-0.235358061101028	1.4507451501454e-17	1	0.274028082911453	0.645811278657105	0.215186403508772	0.591651542649728	0.536842105263158	H2L	0.235358061101028	0.274028082911453	1.5	TRUE	PE	4.12074750201118
ENSG00000087266	0.616211853253872	1.24859529127871e-07	0.000173076917674347	0	22.7957604247194	-0.169568587416818	1.4507451501454e-17	1	0.346814404432133	5.17666382817564	0.215186403508772	0.568058076225045	0.389473684210526	H2L	0.169568587416818	0.346814404432133	1.5	TRUE	PE	6.90357830374124
ENSG00000183644	0.60830488602079	0.000475152938096113	0.00757690369579247	4.77600534912607e-05	2.28177924516818	-0.146882562008469	0.000907441016333952	0.947368421052632	0.247635877352183	1.62758770091374	0.139415078644888	0.385662431941924	0.357894736842105	H2L	0.146882562008469	0.247635877352183	1.5	TRUE	PE	3.32316658094118
ENSG00000224389	0.647975800875069	0.000615682338129531	0.00906433795235187	0.0172413793103448	0	-0.177281836055656	0.0172413793103448	0	0.24557264304136	10.0602930029615	0.192046657592257	0.496370235934664	0.505263157894737	H2L	0.177281836055656	0.24557264304136	1.5	TRUE	PE	3.21064330468766
ENSG00000143320	1.01314311598429	0.000912660728160172	0.0112800922404858	0.00730728818416277	3.17280470971223	-0.106501436781609	0.0462794918330309	0.842105263157895	0.23830356289999	1.96973090593854	0.113553009679371	0.41923774954628	0.431578947368421	H2L	0.106501436781609	0.23830356289999	1.5	TRUE	PE	3.03969063678205
ENSG00000152214	-0.629039436134375	0.00711605671382018	0.0424704773481575	0.20606552679339	24.9806379313003	0.13760019661222	0.383847549909256	0.463157894736842	0.00799503295443691	70.2044782778821	-0.148697444041137	0.00816696914700545	0.0210526315789474	L2H	0.13760019661222	0.20606552679339	1.5	TRUE	PE	2.14776059931753
ENSG00000154319	0.619444062195794	9.67661350740999e-07	0.000307086604587556	0	38.3808734099209	-0.177281836055656	1.4507451501454e-17	1	0.320221606648199	4.98198639124044	0.19749130369026	0.524500907441016	0.389473684210526	H2L	0.177281836055656	0.320221606648199	1.5	TRUE	PE	6.01427660426439
ENSG00000118733	-0.663177064894297	5.86839786900993e-06	0.000667820048358227	0.299598815550673	121.478046733253	0.218816167574108	0.558076225045372	0.463157894736842	0	7.63614920386386	-0.200875302480339	1.4507451501454e-17	1	L2H	0.218816167574108	0.299598815550673	1.5	TRUE	PE	5.23148044920978
ENSG00000136826	0.597798708984917	0.00125958292984196	0.0141041589445708	0.0246059795586971	0	-0.134178387779794	0.0254083484573503	0.0315789473684211	0.234024262107174	0.15315818996469	0.167999470659407	0.44464609800363	0.473684210526316	H2L	0.134178387779794	0.234024262107174	1.5	TRUE	PE	2.89977323365414
ENSG00000253548	-0.781667080287483	0.0003379011007023	0.00632305084020382	0.254312732830261	6.1488323750154	0.138507637628554	0.377495462794918	0.326315789473684	0.0341197822141561	22.4111707045255	-0.102417952208106	0.0344827586206897	0.0105263157894737	L2H	0.138507637628554	0.254312732830261	1.5	TRUE	PE	3.47121039352078
ENSG00000133636	1.55442445763158	0.00194656005910351	0.0185803087596966	0.0189989492788232	0.649795676776329	-0.0434342861464005	0.0353901996370236	0.463157894736842	0.227605310917948	2.95295531703112	0.0827000151240169	0.292196007259528	0.221052631578947	H2L	0.0434342861464005	0.227605310917948	1.5	TRUE	PE	2.71073219203044
ENSG00000242335	0.65919125709945	0.00809763990205894	0.046340834566338	0	21.1198517997309	-0.169114866908651	1.4507451501454e-17	1	0.202473970770847	3.00055300249666	0.166638309134906	0.409255898366606	0.505263157894737	H2L	0.169114866908651	0.202473970770847	1.5	TRUE	PE	2.09164153999358
ENSG00000129654	0.943715952325423	7.86615033505586e-06	0.000812903200431773	0.0172413793103448	0	-0.111038641863279	0.0172413793103448	0	0.298825102684115	0.048779045090384	0.167092029643073	0.430127041742287	0.305263157894737	H2L	0.111038641863279	0.298825102684115	1.5	TRUE	PE	5.10423775771071
ENSG00000163885	0.818848214282295	0.00149222744748947	0.0153113595220577	0	21.7206528733151	-0.0960658650937689	1.4507451501454e-17	1	0.232304900181488	6.72734561894074	0.11672905323654	0.275862068965517	0.157894736842105	H2L	0.0960658650937689	0.232304900181488	1.5	TRUE	PE	2.82616497601776
ENSG00000126778	0.976226638752554	0.00131807961923837	0.0142726346896165	0	17.2076214229185	-0.145975120992135	1.4507451501454e-17	1	0.2338809819467	0.644890295795348	0.150758091349062	0.376588021778584	0.378947368421053	H2L	0.145975120992135	0.2338809819467	1.5	TRUE	PE	2.8800583551806
ENSG00000103316	-0.649452954354021	0.000475152938096113	0.00757690369579247	0.247635877352183	150.772745580233	0.163915986085904	0.385662431941924	0.357894736842105	0.0172413793103448	513.397916753421	-0.135993269812462	0.0172413793103448	0	L2H	0.163915986085904	0.247635877352183	1.5	TRUE	PE	3.32316658094118
ENSG00000259823	-0.739148187825379	0.00014262079714631	0.00401141339541633	0.2661190180533	17.6956203671277	0.140322519661222	0.361161524500907	0.263157894736842	0	1.88635739452155	-0.0919823805202662	1.4507451501454e-17	1	L2H	0.140322519661222	0.2661190180533	1.5	TRUE	PE	3.84581714048872
ENSG00000163734	0.627435433000339	0.000122331123663031	0.00350223402830105	0.00447034100678193	1.04649759753797	-0.107408877797943	0.00544464609800363	0.178947368421053	0.267036011080332	1.98137105048029	0.159378781004235	0.437386569872958	0.389473684210526	H2L	0.107408877797943	0.267036011080332	1.5	TRUE	PE	3.91246303506582
ENSG00000105519	0.785749411738767	2.80933940537709e-07	0.000173076917674347	0	17.2733061120014	-0.162762779794313	1.4507451501454e-17	1	0.331540739325628	3.89262894435918	0.199759906231095	0.516333938294011	0.357894736842105	H2L	0.162762779794313	0.331540739325628	1.5	TRUE	PE	6.55139578756225
ENSG00000147443	0.673522013350222	0.00586930310059611	0.0377795849167565	0.0172413793103448	0.0105681432689011	-0.0824542498487598	0.0172413793103448	0	0.208042793007928	0.480376405863852	0.106747202056866	0.2994555353902	0.305263157894737	H2L	0.0824542498487598	0.208042793007928	1.5	TRUE	PE	2.23141346221623
ENSG00000010319	0.594293913568602	0.00226164308085769	0.0201750613025252	0.0341197822141561	0	-0.0674814730792498	0.0344827586206897	0.0105263157894737	0.224968955965231	0.451995156694418	0.125803463399879	0.333938294010889	0.326315789473684	H2L	0.0674814730792498	0.224968955965231	1.5	TRUE	PE	2.64557593179082
ENSG00000135638	-0.67323585907307	9.1834183673549e-05	0.00316684597219141	0.271248447798262	17.1183475414861	0.115821612220206	0.352994555353902	0.231578947368421	0.0918903429171841	30.2209063052121	-0.0293689503932244	0.117967332123412	0.221052631578947	L2H	0.115821612220206	0.271248447798262	1.5	TRUE	PE	4.03699563015123
ENSG00000274334	0.592057594811789	4.74466210685909e-06	0.000667820048358227	0.0172413793103448	0.129869995857997	-0.130548623714459	0.0172413793103448	0	0.306094182825485	2.39309588917408	0.168453191167574	0.447368421052632	0.315789473684211	H2L	0.130548623714459	0.306094182825485	1.5	TRUE	PE	5.32379471051116
ENSG00000136535	-0.818447692345327	2.90610554045119e-05	0.00173048321735863	0.283656509695291	25.4332045474309	0.14213740169389	0.421052631578947	0.326315789473684	0.00799503295443691	56.3182832143353	-0.0978807471264368	0.00816696914700545	0.0210526315789474	L2H	0.14213740169389	0.283656509695291	1.5	TRUE	PE	4.53668861755118
ENSG00000012223	1.83453679290771	0.000308278177416713	0.00617249980732614	0.0154742573311682	0	-0.108316318814277	0.0163339382940109	0.0526315789473684	0.254465565001433	0	0.150304370840895	0.402903811252269	0.368421052631579	H2L	0.108316318814277	0.254465565001433	1.5	TRUE	PE	3.51105721728616
ENSG00000182107	1.16225494810823	0.00892071391806986	0.0494660278174806	0.0408539497564237	0	-0.0593145039322444	0.0426497277676951	0.0421052631578947	0.201127137262394	0	0.0994876739261948	0.341197822141561	0.410526315789474	H2L	0.0593145039322444	0.201127137262394	1.5	TRUE	PE	2.04960038797009
ENSG00000215328	1.35664497505988	0.00546535130898516	0.0357833628723991	0.0377877543222848	0	-0.0379896400483969	0.0417422867513612	0.0947368421052632	0.208348457350272	2.35022832918888	0.0709032819116757	0.241379310344828	0.136842105263158	H2L	0.0379896400483969	0.208348457350272	1.5	TRUE	PE	2.26238191666937
ENSG00000027075	0.788114484265103	0.00177671988460732	0.0173851552300794	0	24.3071348887352	-0.143252797943134	1.4507451501454e-17	1	0.229448848982711	2.82331547811994	0.170721793708409	0.427404718693285	0.463157894736842	H2L	0.143252797943134	0.229448848982711	1.5	TRUE	PE	2.75038103711208
