gene_id	log2FC	PValue	FDR	PE_L2H	Critical_L2H	Area_L2H	PeakH_L2H	PeakX_L2H	PE_H2L	Critical_H2L	Area_H2L	PeakH_H2L	PeakX_H2L	direction_best	TE_score_L2H	TE_score_any	fc_thresh	pass_fc	stat_name	score
ENSG00000211817	-0.0103080704989273	0.158576680910921	0.32220222931834	0.132046995892635	0.327215432786307	0.081338853599516	0.261343012704174	0.494736842105263	0.0825771324863884	1.33996391089667	-0.065666591046582	0.0862068965517241	0.0421052631578947	L2H	0.081338853599516	0.132046995892635	1.5	FALSE	PE	0.799760676389783
ENSG00000237254	0.267351724706734	0.00270107414717219	0.0226285594609854	0.0314547712293438	0	-0.0606756654567453	0.0335753176043557	0.0631578947368421	0.220842487343586	0.0968229432387271	0.0954041893526921	0.308529945553539	0.284210526315789	H2L	0.0606756654567453	0.220842487343586	1.5	FALSE	PE	2.56846349383322
ENSG00000211808	1.0994582387099	0.576701062293424	0.740429433778139	0.0451332505492406	0.113411347333206	-0.0402582425892317	0.0571687840290381	0.210526315789474	0.0764160855860159	0.143960647546726	0.0486709770114943	0.181488203266788	0.578947368421053	H2L	0.0402582425892317	0.0764160855860159	1.5	TRUE	PE	0.239049248610348
ENSG00000211785	0.199797743978256	0.858695415957911	0.911986684313342	0.0100582672652593	0.570149113354449	-0.0688426346037508	0.0245009074410163	0.589473684210526	0.0410831980131818	0.501381667526264	0.023262628554144	0.229582577132486	0.821052631578947	H2L	0.0688426346037508	0.0410831980131818	1.5	FALSE	PE	0.0661608555238913
ENSG00000211809	0.740474280413742	0.170089831657016	0.334376401998291	0.067398987486866	0	-0.00985896854204476	0.0762250453720508	0.115789473684211	0.127767695099819	0	0.0273461131276467	0.137931034482759	0.0736842105263158	H2L	0.00985896854204476	0.127767695099819	1.5	TRUE	PE	0.769321648687524
ENSG00000211796	0.308933667777727	0.234006033557962	0.413082284056803	0.0224376731301939	0	-0.0829079703569268	0.0245009074410163	0.0842105263157895	0.117346451428026	0.0350694612167404	0.081792574107683	0.285843920145191	0.589473684210526	H2L	0.0829079703569268	0.117346451428026	1.5	FALSE	PE	0.630772944696062
ENSG00000211797	0.532024723711042	0.0213288447139197	0.0876688310565987	0.0122265736937625	0.263786810663092	-0.036174758015729	0.014519056261343	0.157894736842105	0.182940108892922	0.778933638742199	0.0591065486993345	0.206896551724138	0.115789473684211	H2L	0.036174758015729	0.182940108892922	1.5	FALSE	PE	1.67103266766156
ENSG00000211790	0.491275750986164	0.234006033557962	0.413082284056803	0	1.18758984035324	-0.0974270266182698	1.4507451501454e-17	1	0.117346451428026	0.00772317883219742	0.0845148971566848	0.285843920145191	0.589473684210526	H2L	0.0974270266182698	0.117346451428026	1.5	FALSE	PE	0.630772944696062
ENSG00000205274	0	0.917289679929036	0.946723330741192	0.0335180055401662	0.987212252470456	0.0105584543254688	0.109800362976407	0.694736842105263	0.0279396312923871	0.537735829368785	-0.0143961736237145	0.0680580762250454	0.589473684210526	L2H	0.0105584543254688	0.0335180055401662	1.5	FALSE	PE	0.0374934925439506
ENSG00000211820	0.364719441271719	0.44074449442775	0.620727595880222	0.0587353137835514	0	0.0155493799153055	0.129764065335753	0.547368421052632	0.0917470627567103	0.893350743309455	-0.0221094222625529	0.102540834845735	0.105263157894737	H2L	0.0155493799153055	0.0917470627567103	1.5	FALSE	PE	0.355813103996493
ENSG00000211818	0.70047398885932	0.170089831657016	0.334376401998291	0.0542936288088643	0	0.00965101330913491	0.0889292196007259	0.389473684210526	0.127767695099819	1.03744354663039	0.0105584543254688	0.137931034482759	0.0736842105263158	H2L	0.00965101330913491	0.127767695099819	1.5	TRUE	PE	0.769321648687524
ENSG00000211777	0	0.97170036094664	0.977743349559852	0.019104021396504	0	-0.00305316091954023	0.0907441016333938	0.789473684210526	0.0231158658897698	0	-0.0225631427707199	0.0998185117967332	0.768421052631579	H2L	0.00305316091954023	0.0231158658897698	1.5	FALSE	PE	0.0124676359476275
ENSG00000211778	0.216417354131986	0.744705819597802	0.863422958002168	0.0440156652975451	0	0.0132807773744707	0.0871143375680581	0.494736842105263	0.0567389435476168	0.0102353770691457	0.00466008771929825	0.0816696914700545	0.305263157894737	H2L	0.0132807773744707	0.0567389435476168	1.5	FALSE	PE	0.12801525229422
